RegionName,Date,HomePrice
Nevada County,2000-03-31,
Sutter County,2000-03-31,
Mendocino County,2000-03-31,
Yuba County,2000-03-31,
Lake County,2000-03-31,
Tehama County,2000-03-31,
San Benito County,2000-03-31,
Tuolumne County,2000-03-31,
Calaveras County,2000-03-31,
Siskiyou County,2000-03-31,
Amador County,2000-03-31,
Lassen County,2000-03-31,
Glenn County,2000-03-31,
Del Norte County,2000-03-31,
Colusa County,2000-03-31,
Plumas County,2000-03-31,
Inyo County,2000-03-31,
Mariposa County,2000-03-31,
Trinity County,2000-03-31,
Mono County,2000-03-31,
Modoc County,2000-03-31,
Sierra County,2000-03-31,
Alpine County,2000-03-31,
Los Angeles County,2000-04-30,214336.13850392387
San Diego County,2000-04-30,220584.38506034264
Orange County,2000-04-30,266636.31373319123
Riverside County,2000-04-30,155507.4546517462
San Bernardino County,2000-04-30,130843.62334110936
Santa Clara County,2000-04-30,412404.2104767703
Alameda County,2000-04-30,281456.0969621563
Sacramento County,2000-04-30,149593.68233149263
Contra Costa County,2000-04-30,285096.60186796804
Fresno County,2000-04-30,109238.23564316584
Kern County,2000-04-30,96546.92790077665
San Francisco County,2000-04-30,399849.2520984908
Ventura County,2000-04-30,265209.19699860003
San Joaquin County,2000-04-30,160032.32045393318
San Mateo County,2000-04-30,434910.5833915043
Stanislaus County,2000-04-30,149223.68945986475
Sonoma County,2000-04-30,258713.16579675823
Tulare County,2000-04-30,103280.0139580748
Solano County,2000-04-30,199156.8493630805
Santa Barbara County,2000-04-30,245580.94838208987
Monterey County,2000-04-30,250853.35482499792
Placer County,2000-04-30,239807.64061491343
San Luis Obispo County,2000-04-30,201254.3509873516
Merced County,2000-04-30,
Santa Cruz County,2000-04-30,289082.3874002311
Marin County,2000-04-30,450603.0887916927
Butte County,2000-04-30,
Yolo County,2000-04-30,177000.9557396565
El Dorado County,2000-04-30,212692.94044168585
Shasta County,2000-04-30,104979.5509969416
Imperial County,2000-04-30,
Madera County,2000-04-30,
Kings County,2000-04-30,
Napa County,2000-04-30,239430.7929159856
Humboldt County,2000-04-30,
Nevada County,2000-04-30,
Sutter County,2000-04-30,
Mendocino County,2000-04-30,
Yuba County,2000-04-30,
Lake County,2000-04-30,
Tehama County,2000-04-30,
San Benito County,2000-04-30,
Tuolumne County,2000-04-30,
Calaveras County,2000-04-30,
Siskiyou County,2000-04-30,
Amador County,2000-04-30,
Lassen County,2000-04-30,
Glenn County,2000-04-30,
Del Norte County,2000-04-30,
Colusa County,2000-04-30,
Plumas County,2000-04-30,
Inyo County,2000-04-30,
Mariposa County,2000-04-30,
Trinity County,2000-04-30,
Mono County,2000-04-30,
Modoc County,2000-04-30,
Sierra County,2000-04-30,
Alpine County,2000-04-30,
Los Angeles County,2000-05-31,216536.2063103118
San Diego County,2000-05-31,223113.18479730925
Orange County,2000-05-31,269500.78656989266
Riverside County,2000-05-31,156779.32955209087
San Bernardino County,2000-05-31,131848.67716246698
Santa Clara County,2000-05-31,421323.0216042381
Alameda County,2000-05-31,290964.54078743124
Sacramento County,2000-05-31,150900.51499995808
Contra Costa County,2000-05-31,288168.05375125166
Fresno County,2000-05-31,108344.12625489838
Kern County,2000-05-31,95818.5813165081
San Francisco County,2000-05-31,406739.01898354193
Ventura County,2000-05-31,267419.51910190866
San Joaquin County,2000-05-31,161050.37498129837
San Mateo County,2000-05-31,443421.8175686982
Stanislaus County,2000-05-31,149160.8103762112
Sonoma County,2000-05-31,261874.7434799763
Tulare County,2000-05-31,103708.6745211071
Solano County,2000-05-31,201258.27846498648
Santa Barbara County,2000-05-31,247314.92429543493
Monterey County,2000-05-31,254608.69003166535
Placer County,2000-05-31,241696.16280260312
San Luis Obispo County,2000-05-31,202359.05487008343
Merced County,2000-05-31,
Santa Cruz County,2000-05-31,293864.4893009784
Marin County,2000-05-31,457985.3537742933
Butte County,2000-05-31,
Yolo County,2000-05-31,178791.08336082738
El Dorado County,2000-05-31,214624.20854897203
Shasta County,2000-05-31,105456.04842976104
Imperial County,2000-05-31,
Madera County,2000-05-31,
Kings County,2000-05-31,
Napa County,2000-05-31,243193.27505532448
Humboldt County,2000-05-31,
Nevada County,2000-05-31,
Sutter County,2000-05-31,
Mendocino County,2000-05-31,
Yuba County,2000-05-31,
Lake County,2000-05-31,
Tehama County,2000-05-31,
San Benito County,2000-05-31,
Tuolumne County,2000-05-31,
Calaveras County,2000-05-31,
Siskiyou County,2000-05-31,
Amador County,2000-05-31,
Lassen County,2000-05-31,
Glenn County,2000-05-31,
Del Norte County,2000-05-31,
Colusa County,2000-05-31,
Plumas County,2000-05-31,
Inyo County,2000-05-31,
Mariposa County,2000-05-31,
Trinity County,2000-05-31,
Mono County,2000-05-31,
Modoc County,2000-05-31,
Sierra County,2000-05-31,
Alpine County,2000-05-31,
Los Angeles County,2000-06-30,218648.18361789055
San Diego County,2000-06-30,226306.34923363116
Orange County,2000-06-30,272533.8565619185
Riverside County,2000-06-30,158345.67761816402
San Bernardino County,2000-06-30,132724.24144300667
Santa Clara County,2000-06-30,431677.9992349392
Alameda County,2000-06-30,299775.93823105056
Sacramento County,2000-06-30,152140.6712335735
Contra Costa County,2000-06-30,291568.29588152515
Fresno County,2000-06-30,108512.10797344155
Kern County,2000-06-30,95916.65743117244
San Francisco County,2000-06-30,414343.4855570501
Ventura County,2000-06-30,269759.6024397758
San Joaquin County,2000-06-30,162447.49429106843
San Mateo County,2000-06-30,453832.9709428951
Stanislaus County,2000-06-30,149031.3348644727
Sonoma County,2000-06-30,265676.60940190946
Tulare County,2000-06-30,104109.4431250728
Solano County,2000-06-30,203660.26177340475
Santa Barbara County,2000-06-30,249071.54857395976
Monterey County,2000-06-30,258989.27483220556
Placer County,2000-06-30,243852.97741352904
San Luis Obispo County,2000-06-30,204525.9369059149
Merced County,2000-06-30,
Santa Cruz County,2000-06-30,299148.3971222556
Marin County,2000-06-30,466059.9046946879
Butte County,2000-06-30,
Yolo County,2000-06-30,180801.42283473263
El Dorado County,2000-06-30,216100.3676974668
Shasta County,2000-06-30,105953.32056138816
Imperial County,2000-06-30,
Madera County,2000-06-30,
Kings County,2000-06-30,
Napa County,2000-06-30,247191.75044993477
Humboldt County,2000-06-30,
Nevada County,2000-06-30,
Sutter County,2000-06-30,
Mendocino County,2000-06-30,
Yuba County,2000-06-30,
Lake County,2000-06-30,
Tehama County,2000-06-30,
San Benito County,2000-06-30,
Tuolumne County,2000-06-30,
Calaveras County,2000-06-30,
Siskiyou County,2000-06-30,
Amador County,2000-06-30,
Lassen County,2000-06-30,
Glenn County,2000-06-30,
Del Norte County,2000-06-30,
Colusa County,2000-06-30,
Plumas County,2000-06-30,
Inyo County,2000-06-30,
Mariposa County,2000-06-30,
Trinity County,2000-06-30,
Mono County,2000-06-30,
Modoc County,2000-06-30,
Sierra County,2000-06-30,
Alpine County,2000-06-30,
Los Angeles County,2000-07-31,220795.26208328884
San Diego County,2000-07-31,230026.22259357272
Orange County,2000-07-31,275652.6402669546
Riverside County,2000-07-31,159980.95577619426
San Bernardino County,2000-07-31,133537.429776909
Santa Clara County,2000-07-31,440821.684160681
Alameda County,2000-07-31,307392.2959249292
Sacramento County,2000-07-31,153672.04303227193
Contra Costa County,2000-07-31,295530.3218519664
Fresno County,2000-07-31,108903.48017330351
Kern County,2000-07-31,96230.196132306
San Francisco County,2000-07-31,422378.08111429337
Ventura County,2000-07-31,272693.198433143
San Joaquin County,2000-07-31,164489.08334787193
San Mateo County,2000-07-31,464317.2587081312
Stanislaus County,2000-07-31,149913.5588852094
Sonoma County,2000-07-31,270068.2891698195
Tulare County,2000-07-31,104438.38293692312
Solano County,2000-07-31,206552.0444954395
Santa Barbara County,2000-07-31,251484.3373050152
Monterey County,2000-07-31,263727.8549059177
Placer County,2000-07-31,247097.23333578583
San Luis Obispo County,2000-07-31,208328.3586581129
Merced County,2000-07-31,
